,index,title,first_genre
98,49538,X-Men: First Class,Action
99,131634,The Hunger Games: Mockingjay - Part 2,Action
100,27022,The Sorcerer's Apprentice,Fantasy
101,503,Poseidon,Adventure
102,241259,Alice Through the Looking Glass,Fantasy
103,810,Shrek the Third,Fantasy
104,68735,Warcraft,Action
105,87101,Terminator Genisys,Science Fiction
106,10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,Adventure
107,676,Pearl Harbor,History
108,1858,Transformers,Adventure
109,1966,Alexander,War
110,675,Harry Potter and the Order of the Phoenix,Adventure
111,674,Harry Potter and the Goblet of Fire,Adventure
112,8960,Hancock,Fantasy
113,6479,I Am Legend,Drama
114,118,Charlie and the Chocolate Factory,Adventure
115,2062,Ratatouille,Animation
116,272,Batman Begins,Action
117,10527,Madagascar: Escape 2 Africa,Family
118,18360,Night at the Museum: Battle of the Smithsonian,Adventure
119,2080,X-Men Origins: Wolverine,Adventure
120,605,The Matrix Revolutions,Adventure
121,109445,Frozen,Animation
122,604,The Matrix Reloaded,Adventure
123,76338,Thor: The Dark World,Action
124,76341,Mad Max: Fury Road,Action
125,13448,Angels & Demons,Thriller
126,10195,Thor,Adventure
127,13053,Bolt,Animation
128,19585,G-Force,Fantasy
129,57165,Wrath of the Titans,Adventure
130,62213,Dark Shadows,Comedy
131,177677,Mission: Impossible - Rogue Nation,Action
132,5559,Bee Movie,Family
133,49444,Kung Fu Panda 2,Animation
134,10196,The Last Airbender,Action
135,956,Mission: Impossible III,Adventure
136,117251,White House Down,Action
137,11619,Flushed Away,Adventure
138,266647,Pan,Adventure
139,82703,Mr. Peabody & Sherman,Animation
140,652,Troy,Adventure
141,80321,Madagascar 3: Europe's Most Wanted,Animation
142,36669,Die Another Day,Adventure
143,43074,Ghostbusters,Action
144,95,Armageddon,Action
145,608,Men in Black II,Action
146,2310,Beowulf,Adventure
147,140300,Kung Fu Panda 3,Action
148,56292,Mission: Impossible - Ghost Protocol,Action
149,81188,Rise of the Guardians,Fantasy
150,7552,Fun with Dick and Jane,Comedy
151,616,The Last Samurai,Drama
152,147441,Exodus: Gods and Kings,Adventure
153,13475,Star Trek,Science Fiction
154,557,Spider-Man,Fantasy
155,82702,How to Train Your Dragon 2,Fantasy
156,205584,Gods of Egypt,Fantasy
157,10048,Stealth,Action
158,13183,Watchmen,Action
159,944,Lethal Weapon 4,Action
160,1927,Hulk,Drama
161,72559,G.I. Joe: Retaliation,Adventure
162,7364,Sahara,Action
163,2114,Final Fantasy: The Spirits Within,Adventure
164,1771,Captain America: The First Avenger,Action
165,36643,The World Is Not Enough,Adventure
166,8619,Master and Commander: The Far Side of the World,Adventure
167,50620,The Twilight Saga: Breaking Dawn - Part 2,Adventure
168,65759,Happy Feet Two,Animation
169,1724,The Incredible Hulk,Science Fiction
170,267935,The BFG,Adventure
171,281957,The Revenant,Western
172,77950,Turbo,Animation
173,44896,Rango,Animation
174,270946,Penguins of Madagascar,Family
175,2503,The Bourne Ultimatum,Action
176,9502,Kung Fu Panda,Adventure
177,102899,Ant-Man,Science Fiction
178,101299,The Hunger Games: Catching Fire,Adventure
179,228161,Home,Fantasy
180,74,War of the Worlds,Adventure
181,8961,Bad Boys II,Adventure
182,417859,Puss in Boots,Action
183,27576,Salt,Action
184,86834,Noah,Drama
185,17578,The Adventures of Tintin,Adventure
186,673,Harry Potter and the Prisoner of Azkaban,Adventure
187,6972,Australia,Drama
188,82700,After Earth,Science Fiction
189,10567,Dinosaur,Animation
190,181533,Night at the Museum: Secret of the Tomb,Adventure
191,38055,Megamind,Animation
192,671,Harry Potter and the Philosopher's Stone,Adventure
193,49524,R.I.P.D.,Fantasy
194,22,Pirates of the Caribbean: The Curse of the Black Pearl,Adventure
195,131631,The Hunger Games: Mockingjay - Part 1,Science Fiction
196,591,The Da Vinci Code,Thriller
197,172385,Rio 2,Animation
198,36658,X2,Adventure
199,51497,Fast Five,Action
200,58574,Sherlock Holmes: A Game of Shadows,Adventure
201,18823,Clash of the Titans,Adventure
202,861,Total Recall,Action
203,1911,The 13th Warrior,Adventure
204,49040,The Bourne Legacy,Action
205,415,Batman & Robin,Action
206,8871,How the Grinch Stole Christmas,Family
207,435,The Day After Tomorrow,Action
208,955,Mission: Impossible II,Adventure
209,2133,The Perfect Storm,Drama
210,1979,Fantastic 4: Rise of the Silver Surfer,Adventure
211,87827,Life of Pi,Adventure
212,1250,Ghost Rider,Thriller
213,324668,Jason Bourne,Action
214,9471,Charlie's Angels: Full Throttle,Action
215,70981,Prometheus,Science Fiction
216,10996,Stuart Little 2,Family
217,68724,Elysium,Science Fiction
218,2789,The Chronicles of Riddick,Action
219,97020,RoboCop,Action
220,7459,Speed Racer,Action
221,37834,Knight and Day,Action
222,75612,Oblivion,Action
223,1895,Star Wars: Episode III - Revenge of the Sith,Science Fiction
224,1894,Star Wars: Episode II - Attack of the Clones,Adventure
225,585,"Monsters, Inc.",Animation
226,76170,The Wolverine,Action
227,1893,Star Wars: Episode I - The Phantom Menace,Adventure
228,49519,The Croods,Adventure
229,12100,Windtalkers,Drama
230,290595,The Huntsman: Winter's War,Action
231,98566,Teenage Mutant Ninja Turtles,Science Fiction
232,49047,Gravity,Science Fiction
233,9619,Dante's Peak,Action
234,308531,Teenage Mutant Ninja Turtles: Out of the Shadows,Fantasy
235,166424,Fantastic Four,Action
236,1593,Night at the Museum,Action
237,254128,San Andreas,Action
238,714,Tomorrow Never Dies,Adventure
239,2024,The Patriot,Drama
240,163,Ocean's Twelve,Thriller
241,787,Mr. & Mrs. Smith,Action
242,262500,Insurgent,Adventure
243,2567,The Aviator,Drama
244,38745,Gulliver's Travels,Comedy
245,40805,The Green Hornet,Action
246,53182,300: Rise of an Empire,Action
247,41513,The Smurfs,Animation
248,13700,Home on the Range,Animation
249,262504,Allegiant,Adventure
250,39254,Real Steel,Action
251,77931,The Smurfs 2,Fantasy
252,1639,Speed 2: Cruise Control,Action
253,80274,Ender's Game,Science Fiction
254,1571,Live Free or Die Hard,Action
255,120,The Lord of the Rings: The Fellowship of the Ring,Adventure
256,10204,Around the World in 80 Days,Action
257,8489,Ali,Drama
258,2048,"I, Robot",Action
259,1495,Kingdom of Heaven,Drama
260,10137,Stuart Little,Animation
261,10198,The Princess and the Frog,Romance
262,286217,The Martian,Drama
263,1635,The Island,Action
264,9679,Gone in Sixty Seconds,Action
265,98,Gladiator,Action
266,180,Minority Report,Action
267,672,Harry Potter and the Chamber of Secrets,Adventure
268,36557,Casino Royale,Adventure
269,869,Planet of the Apes,Thriller
270,280,Terminator 2: Judgment Day,Action
271,11322,Public Enemies,History
272,4982,American Gangster,Drama
273,36955,True Lies,Action
274,18487,The Taking of Pelham 1 2 3,Thriller
275,39451,Little Fockers,Comedy
276,27581,The Other Guys,Action
277,9268,Eraser,Action
278,68718,Django Unchained,Drama
279,10545,The Hunchback of Notre Dame,Drama
280,11688,The Emperor's New Groove,Adventure
281,76163,The Expendables 2,Action
282,2059,National Treasure,Adventure
283,2486,Eragon,Fantasy
284,16523,Where the Wild Things Are,Family
285,116711,Epic,Animation
286,37710,The Tourist,Action
287,9946,End of Days,Action
288,1372,Blood Diamond,Drama
289,106646,The Wolf of Wall Street,Crime
290,414,Batman Forever,Action
291,563,Starship Troopers,Adventure
292,83542,Cloud Atlas,Drama
293,41216,Legend of the Guardians: The Owls of Ga'Hoole,Animation
294,314,Catwoman,Action
295,184315,Hercules,Action
296,9016,Treasure Planet,Adventure
297,18162,Land of the Lost,Adventure
298,138103,The Expendables 3,Action
299,257088,Point Break,Action
300,205775,In the Heart of the Sea,Thriller
301,22972,Green Zone,War
302,227973,The Peanuts Movie,Animation
303,1734,The Mummy Returns,Adventure
304,3131,Gangs of New York,Drama
305,9408,Surf's Up,Animation
306,9890,The Stepford Wives,Action
307,855,Black Hawk Down,Action
308,18,The Fifth Element,Adventure
309,10501,The Road to El Dorado,Adventure
310,57800,Ice Age: Continental Drift,Animation
311,150689,Cinderella,Romance
312,7980,The Lovely Bones,Fantasy
313,12,Finding Nemo,Animation
314,122,The Lord of the Rings: The Return of the King,Adventure
315,121,The Lord of the Rings: The Two Towers,Adventure
316,68737,Seventh Son,Adventure
317,1995,Lara Croft: Tomb Raider,Adventure
318,157353,Transcendence,Thriller
319,331,Jurassic Park III,Adventure
320,61791,Rise of the Planet of the Apes,Thriller
321,8204,The Spiderwick Chronicles,Adventure
322,47964,A Good Day to Die Hard,Action
323,9806,The Incredibles,Action
324,32657,Percy Jackson & the Olympians: The Lightning Thief,Adventure
325,607,Men in Black,Action
326,863,Toy Story 2,Animation
327,44048,Unstoppable,Action
328,5175,Rush Hour 2,Action
329,2655,What Lies Beneath,Drama
330,22794,Cloudy with a Chance of Meatballs,Animation
331,8355,Ice Age: Dawn of the Dinosaurs,Animation
332,116745,The Secret Life of Walter Mitty,Adventure
333,4327,Charlie's Angels,Action
334,1422,The Departed,Drama
335,10674,Mulan,Animation
336,7446,Tropic Thunder,Action
337,65754,The Girl with the Dragon Tattoo,Thriller
338,1572,Die Hard: With a Vengeance,Action
339,10528,Sherlock Holmes,Action
340,271969,Ben-Hur,Drama
341,10865,Atlantis: The Lost Empire,Animation
342,2253,Valkyrie,Drama
343,10661,You Don't Mess with the Zohan,Comedy
344,257344,Pixels,Action
345,644,A.I. Artificial Intelligence,Drama
346,10756,The Haunted Mansion,Thriller
347,686,Contact,Drama
348,9383,Hollow Man,Action
349,179,The Interpreter,Crime
350,76285,Percy Jackson: Sea of Monsters,Adventure
351,1996,Lara Croft Tomb Raider: The Cradle of Life,Action
352,291805,Now You See Me 2,Action
353,10003,The Saint,Thriller
354,1535,Spy Game,Action
355,2067,Mission to Mars,Science Fiction
356,46195,Rio,Animation
357,2277,Bicentennial Man,Comedy
358,4477,The Devil's Own,Crime
359,8665,K-19: The Widowmaker,Drama
360,921,Cinderella Man,Romance
361,664,Twister,Action
362,8358,Cast Away,Adventure
363,9836,Happy Feet,Animation
364,2502,The Bourne Supremacy,Action
365,9772,Air Force One,Action
366,161,Ocean's Eleven,Thriller
367,52451,The Three Musketeers,Adventure
368,76492,Hotel Transylvania,Animation
369,4523,Enchanted,Comedy
370,59961,Safe House,Action
371,10481,102 Dalmatians,Comedy
372,59108,Tower Heist,Action
373,1581,The Holiday,Comedy
374,9798,Enemy of the State,Action
375,22897,It's Complicated,Comedy
376,298,Ocean's Thirteen,Crime
377,7484,Open Season,Adventure
378,157350,Divergent,Adventure
379,853,Enemy at the Gates,War
380,10159,The Rundown,Adventure
381,9593,Last Action Hero,Adventure
382,1904,Memoirs of a Geisha,Drama
383,9615,The Fast and the Furious: Tokyo Drift,Action
384,297,Meet Joe Black,Fantasy
385,9884,Collateral Damage,Action
386,62764,Mirror Mirror,Adventure
387,22538,Scott Pilgrim vs. the World,Action
388,9341,The Core,Action
389,12107,Nutty Professor II: The Klumps,Fantasy
390,9637,Scooby-Doo,Mystery
391,49049,Dredd,Action
392,9339,Click,Comedy
393,8247,Jumper,Adventure
394,11253,Hellboy II: The Golden Army,Adventure
395,1949,Zodiac,Crime
396,8452,The 6th Day,Science Fiction
397,310,Bruce Almighty,Fantasy
398,27578,The Expendables,Thriller
399,954,Mission: Impossible,Adventure
400,70160,The Hunger Games,Science Fiction
401,45243,The Hangover Part II,Comedy
402,364,Batman Returns,Action
403,7518,Over the Hedge,Comedy
404,11544,Lilo & Stitch,Animation
405,9986,Charlotte's Web,Comedy
406,8656,Deep Impact,Action
407,9291,The Longest Yard,Comedy
408,55301,Alvin and the Chipmunks: Chipwrecked,Comedy
409,11665,Get Smart,Action
410,6964,Something's Gotta Give,Drama
411,11324,Shutter Island,Drama
412,12193,Four Christmases,Comedy
413,9928,Robots,Animation
414,754,Face/Off,Action
415,10202,Bedtime Stories,Fantasy
416,4147,Road to Perdition,Thriller
417,50546,Just Go with It,Romance
418,1701,Con Air,Action
419,13027,Eagle Eye,Mystery
420,2289,Cold Mountain,Drama
421,20504,The Book of Eli,Action
422,9574,Flubber,Comedy
423,11618,The Haunting,Horror
424,2300,Space Jam,Animation
425,10200,The Day the Earth Stood Still,Drama
426,8834,Conspiracy Theory,Action
427,228150,Fury,War
428,6068,Six Days Seven Nights,Action
429,9023,Spirit: Stallion of the Cimarron,Western
430,38317,Zookeeper,Comedy
431,2157,Lost in Space,Adventure
432,14462,The Manchurian Candidate,Drama
433,159824,Hotel Transylvania 2,Animation
434,49948,Fantasia 2000,Animation
435,2135,The Time Machine,Science Fiction
436,9705,Swordfish,Action
437,1656,The Legend of Zorro,Action
438,12159,What Dreams May Come,Drama
439,4442,The Brothers Grimm,Adventure
440,75,Mars Attacks!,Comedy
441,19959,Surrogates,Action
442,11228,Daylight,Action
443,5491,Battlefield Earth,Action
444,10715,Looney Tunes: Back in Action,Animation
445,9562,Timeline,Action
446,9922,The Postman,Drama
447,9447,Babe: Pig in the City,Adventure
448,274854,The Last Witch Hunter,Fantasy
449,8870,Red Planet,Thriller
450,9992,Arthur and the Invisibles,Adventure
451,76649,Pompeii,Action
452,453,A Beautiful Mind,Drama
453,8587,The Lion King,Family
454,72545,Journey 2: The Mysterious Island,Adventure
455,109451,Cloudy with a Chance of Meatballs 2,Animation
456,9533,Red Dragon,Crime
457,2023,Hidalgo,Western
458,71880,Jack and Jill,Comedy
459,584,2 Fast 2 Furious,Action
460,309809,The Little Prince,Adventure
461,4858,The Invasion,Science Fiction
462,328111,The Secret Life of Pets,Animation
463,8698,The League of Extraordinary Gentlemen,Fantasy
464,93456,Despicable Me 2,Animation
465,602,Independence Day,Action
466,330,The Lost World: Jurassic Park,Adventure
467,953,Madagascar,Family
468,9693,Children of Men,Drama
469,36657,X-Men,Adventure
470,8909,Wanted,Action
471,9802,The Rock,Action
472,950,Ice Age: The Meltdown,Animation
473,1824,50 First Dates,Comedy
474,2976,Hairspray,Family
475,75656,Now You See Me,Thriller
476,38365,Grown Ups,Comedy
477,594,The Terminal,Comedy
478,11678,Vertical Limit,Action
479,6538,Charlie Wilson's War,Comedy
480,10555,Shark Tale,Animation
481,1125,Dreamgirls,Drama
482,4551,Be Cool,Comedy
483,612,Munich,Drama
484,9567,Tears of the Sun,Action
485,37821,Killers,Action
486,203801,The Man from U.N.C.L.E.,Comedy
487,2539,Spanglish,Comedy
488,9297,Monster House,Animation
489,3172,Bandits,Action
490,6520,First Knight,Action
491,37958,Immortals,Fantasy
492,2026,Hostage,Mystery
493,7450,Titan A.E.,Animation
494,11866,Flight of the Phoenix,Action
495,9741,Unbreakable,Science Fiction
496,211672,Minions,Family
497,23629,Sucker Punch,Action
498,8688,Snake Eyes,Crime
499,10153,Sphere,Science Fiction
500,153518,The Angry Birds Movie,Family
501,8676,Fool's Gold,Romance
502,20829,Funny People,Comedy
503,4349,The Kingdom,Thriller
504,9718,Talladega Nights: The Ballad of Ricky Bobby,Comedy
505,10808,Dr. Dolittle 2,Comedy
506,197,Braveheart,Action
507,25,Jarhead,Drama
508,35,The Simpsons Movie,Animation
509,6947,The Village,Drama
510,3050,Doctor Dolittle,Comedy
511,2675,Signs,Drama
512,809,Shrek 2,Adventure
513,920,Cars,Animation
514,4806,Runaway Bride,Comedy
515,7451,xXx,Action
516,228165,The SpongeBob Movie: Sponge Out of Water,Animation
517,3595,Ransom,Action
518,16869,Inglourious Basterds,Drama
519,879,Hook,Adventure
520,1573,Die Hard 2,Action
521,9257,S.W.A.T.,Action
522,1903,Vanilla Sky,Drama
523,9697,Lady in the Water,Drama
524,395,AVP: Alien vs. Predator,Adventure
525,23398,Alvin and the Chipmunks: The Squeakquel,Comedy
526,10590,We Were Soldiers,Action
527,117263,Olympus Has Fallen,Action
528,200,Star Trek: Insurrection,Science Fiction
529,44943,Battle: Los Angeles,Action
530,587,Big Fish,Adventure
531,57212,War Horse,Drama
532,152760,The Monuments Men,War
533,33909,Wall Street: Money Never Sleeps,Drama
534,49017,Dracula Untold,Horror
535,9882,The Siege,Drama
536,2270,Stardust,Adventure
537,978,Seven Years in Tibet,Adventure
538,44564,The Dilemma,Comedy
539,3132,Bad Company,Action
540,8814,Doom,Adventure
541,8427,I Spy,Action
542,52520,Underworld: Awakening,Fantasy
543,80585,Rock of Ages,Comedy
544,10592,Hart's War,Drama
545,49021,Killer Elite,Action
546,12610,Osmosis Jones,Adventure
547,201088,Blackhat,Crime
548,5137,Sky Captain and the World of Tomorrow,Mystery
549,107846,Escape Plan,Action
550,188207,The Legend of Hercules,Action
551,4614,The Sum of All Fears,Thriller
552,24021,The Twilight Saga: Eclipse,Adventure
553,11371,The Score,Action
554,20352,Despicable Me,Animation
555,214756,Ted 2,Comedy
556,26428,Agora,Adventure
557,9824,Mystery Men,Adventure
558,48988,Hall Pass,Comedy
559,9008,The Insider,Drama
560,300673,The Finest Hours,Action
561,12113,Body of Lies,Action
562,38778,Dinner for Schmucks,Comedy
563,72331,Abraham Lincoln: Vampire Hunter,Action
564,1844,Entrapment,Romance
565,846,The X Files,Mystery
566,857,Saving Private Ryan,Drama
567,136797,Need for Speed,Action
568,3981,What Women Want,Comedy
569,425,Ice Age,Animation
570,6171,Dreamcatcher,Drama
571,72976,Lincoln,History
572,603,The Matrix,Action
573,568,Apollo 13,Drama
574,9021,The Santa Clause 2,Fantasy
575,82695,Les Misérables,Drama
576,9489,You've Got Mail,Comedy
577,12133,Step Brothers,Comedy
578,9342,The Mask of Zorro,Action
579,41733,Due Date,Comedy
580,227306,Unbroken,Drama
581,5551,Space Cowboys,Action
582,9350,Cliffhanger,Action
583,9208,Broken Arrow,Action
584,4244,The Kid,Fantasy
585,1852,World Trade Center,Drama
586,76493,The Dictator,Comedy
587,345,Eyes Wide Shut,Mystery
588,196867,Annie,Comedy
589,256591,Focus,Romance
590,59962,This Means War,Action
591,36648,Blade: Trinity,Science Fiction
592,71679,Resident Evil: Retribution,Action
593,10483,Death Race,Action
594,11412,The Long Kiss Goodnight,Crime
595,6795,Zathura: A Space Adventure,Family
596,550,Fight Club,Drama
597,9292,Hudson Hawk,Action
598,100241,"I, Frankenstein",Horror
599,257,Oliver Twist,Crime
600,9947,Elektra,Action
601,189,Sin City: A Dame to Kill For,Crime
602,253412,Everest,Adventure
603,1427,Perfume: The Story of a Murderer,Crime
604,818,Austin Powers in Goldmember,Comedy
605,16577,Astro Boy,Animation
606,329,Jurassic Park,Adventure
607,9331,Clear and Present Danger,Action
608,9072,Little Man,Comedy
609,3536,U-571,Action
610,12177,The Love Guru,Comedy
611,273248,The Hateful Eight,Crime
612,50359,Hop,Animation
613,1271,300,Action
614,693,Meet the Fockers,Comedy
615,14306,Marley & Me,Comedy
616,497,The Green Mile,Fantasy
617,9982,Chicken Little,Animation
618,210577,Gone Girl,Mystery
619,2501,The Bourne Identity,Action
620,710,GoldenEye,Adventure
621,37165,The Truman Show,Comedy
622,9837,The Prince of Egypt,Adventure
623,10708,Daddy Day Care,Comedy
624,136400,2 Guns,Action
625,10992,Cats & Dogs,Comedy
626,9654,The Italian Job,Action
627,2642,Two Weeks Notice,Romance
628,8916,Antz,Adventure
629,19899,Couples Retreat,Comedy
630,2119,Days of Thunder,Adventure
631,9641,Cheaper by the Dozen 2,Comedy
632,294254,Maze Runner: The Scorch Trials,Action
633,38167,Eat Pray Love,Drama
634,39514,RED,Action
635,9563,Any Given Sunday,Drama
636,547,The Horse Whisperer,Drama
637,1538,Collateral,Drama
638,9334,The Scorpion King,Action
639,75780,Jack Reacher,Crime
640,8914,Deep Blue Sea,Action
641,39538,Contagion,Drama
642,14836,Coraline,Animation
643,8645,The Happening,Thriller
644,9509,Man on Fire,Action
645,9384,Starsky & Hutch,Comedy
646,9279,Jingle All the Way,Family
647,1487,Hellboy,Fantasy
648,77174,ParaNorman,Family
649,4824,The Jackal,Action
650,9620,Paycheck,Action
651,10199,The Tale of Despereaux,Adventure
652,137094,Jack Ryan: Shadow Recruit,Action
653,274479,Joy,Drama
654,267860,London Has Fallen,Action
655,8078,Alien: Resurrection,Science Fiction
656,7485,Shooter,Action
657,170687,The Boxtrolls,Animation
658,6435,Practical Magic,Drama
659,137106,The Lego Movie,Adventure
660,6278,Reign of Fire,Adventure
661,82682,Gangster Squad,Crime
662,17610,Year One,Comedy
663,22954,Invictus,Drama
664,16995,State of Play,Action
665,16866,Planet 51,Science Fiction
666,201,Star Trek: Nemesis,Science Fiction
667,11775,Intolerable Cruelty,Crime
668,12201,Edge of Darkness,Crime
669,9932,Analyze That,Comedy
670,13389,Righteous Kill,Action
671,17332,The Soloist,Drama
672,4958,The Legend of Bagger Vance,Fantasy
673,786,Almost Famous,Drama
674,11679,xXx: State of the Union,Action
675,38321,Priest,Action
676,14411,Sinbad: Legend of the Seven Seas,Family
677,8413,Event Horizon,Horror
678,9676,The Black Dahlia,Drama
679,9664,Flyboys,Action
680,2100,The Last Castle,Action
681,137321,Winter's Tale,Drama
682,123553,The Mortal Instruments: City of Bones,Action
683,11260,Meet Dave,Comedy
684,9009,Dark Water,Drama
685,2309,Inkheart,Adventure
686,8285,The Spirit,Action
687,210860,Mortdecai,Comedy
688,293660,Deadpool,Action
689,190859,American Sniper,War
690,257445,Goosebumps,Adventure
691,9007,Just Like Heaven,Comedy
692,24438,Did You Hear About the Morgans?,Comedy
693,116741,The Internship,Comedy
694,35791,Resident Evil: Afterlife,Action
695,1813,The Devil's Advocate,Drama
696,87428,That's My Boy,Comedy
697,8840,DragonHeart,Fantasy
698,10589,After the Sunset,Action
699,71676,Ghost Rider: Spirit of Vengeance,Action
700,10022,The Pacifier,Action
701,11358,Walking Tall,Adventure
702,13,Forrest Gump,Comedy
703,6477,Alvin and the Chipmunks,Comedy
704,1597,Meet the Parents,Comedy
705,10530,Pocahontas,Adventure
706,9327,The Nutty Professor,Fantasy
707,8488,Hitch,Comedy
708,8273,American Wedding,Comedy
709,109424,Captain Phillips,Action
710,35056,Date Night,Comedy
711,8839,Casper,Fantasy
712,156022,The Equalizer,Thriller
713,7303,Maid in Manhattan,Comedy
714,8963,Crimson Tide,Action
715,1402,The Pursuit of Happyness,Drama
716,9315,Flightplan,Thriller
717,795,City of Angels,Drama
718,24,Kill Bill: Vol. 1,Action
719,393,Kill Bill: Vol. 2,Action
720,9374,Death Becomes Her,Fantasy
721,8584,Shanghai Noon,Adventure
722,2320,Executive Decision,Action
723,58224,Mr. Popper's Penguins,Comedy
724,1729,The Forbidden Kingdom,Action
725,175574,Free Birds,Animation
726,8077,Alien³,Science Fiction
727,8195,Ronin,Action
728,10586,The Ghost and the Darkness,Adventure
729,116149,Paddington,Family
730,80035,The Watch,Comedy
731,72197,The Pirates! In an Adventure with Scientists!,Animation
732,3580,Changeling,Crime
733,12123,Chain Reaction,Action
734,9833,The Phantom of the Opera,Thriller
735,4517,Elizabeth: The Golden Age,Drama
736,8202,Æon Flux,Action
737,145220,Muppets Most Wanted,Comedy
738,42297,Burlesque,Drama
739,36586,Blade II,Fantasy
740,11321,Seven Pounds,Drama
741,242,The Godfather: Part III,Crime
742,9621,Elizabethtown,Comedy
743,1819,"You, Me and Dupree",Comedy
744,479,Shaft,Action
745,9444,Anastasia,Animation
746,824,Moulin Rouge!,Drama
747,261023,Black Mass,Crime
748,3683,Flags of Our Fathers,War
749,22803,Law Abiding Citizen,Drama
750,285923,Grindhouse,Thriller
751,640,Catch Me If You Can,Drama
752,97630,Zero Dark Thirty,Thriller
753,9767,The Break-Up,Romance
754,11631,Mamma Mia!,Comedy
755,32856,Valentine's Day,Comedy
756,6519,The Dukes of Hazzard,Action
757,8741,The Thin Red Line,Drama
758,49520,The Change-Up,Comedy
759,1850,Man on the Moon,Comedy
760,524,Casino,Drama
761,26389,From Paris with Love,Action
762,2123,"Me, Myself & Irene",Comedy
763,18239,The Twilight Saga: New Moon,Adventure
764,808,Shrek,Adventure
765,38050,The Adjustment Bureau,Science Fiction
766,8367,Robin Hood: Prince of Thieves,Adventure
767,9390,Jerry Maguire,Comedy
768,72105,Ted,Comedy
769,2898,As Good as It Gets,Comedy
770,10312,Patch Adams,Comedy
