,id,name,budget,original_title,vote_average,vote_count
1,58,Fantasy,200000000,Pirates of the Caribbean: Dead Man's Chest,7.0,5246
2,58,Action,200000000,Pirates of the Caribbean: Dead Man's Chest,7.0,5246
0,57201,Action,255000000,The Lone Ranger,5.9,2311
1,57201,Adventure,255000000,The Lone Ranger,5.9,2311
2,57201,Western,255000000,The Lone Ranger,5.9,2311
0,49521,Action,225000000,Man of Steel,6.5,6359
1,49521,Adventure,225000000,Man of Steel,6.5,6359
2,49521,Fantasy,225000000,Man of Steel,6.5,6359
3,49521,Science Fiction,225000000,Man of Steel,6.5,6359
0,2454,Adventure,225000000,The Chronicles of Narnia: Prince Caspian,6.3,1630
1,2454,Family,225000000,The Chronicles of Narnia: Prince Caspian,6.3,1630
2,2454,Fantasy,225000000,The Chronicles of Narnia: Prince Caspian,6.3,1630
0,24428,Science Fiction,220000000,The Avengers,7.4,11776
1,24428,Action,220000000,The Avengers,7.4,11776
2,24428,Adventure,220000000,The Avengers,7.4,11776
0,1865,Adventure,380000000,Pirates of the Caribbean: On Stranger Tides,6.4,4948
1,1865,Action,380000000,Pirates of the Caribbean: On Stranger Tides,6.4,4948
2,1865,Fantasy,380000000,Pirates of the Caribbean: On Stranger Tides,6.4,4948
0,41154,Action,225000000,Men in Black 3,6.2,4160
1,41154,Comedy,225000000,Men in Black 3,6.2,4160
2,41154,Science Fiction,225000000,Men in Black 3,6.2,4160
0,122917,Action,250000000,The Hobbit: The Battle of the Five Armies,7.1,4760
1,122917,Adventure,250000000,The Hobbit: The Battle of the Five Armies,7.1,4760
2,122917,Fantasy,250000000,The Hobbit: The Battle of the Five Armies,7.1,4760
0,1930,Action,215000000,The Amazing Spider-Man,6.5,6586
1,1930,Adventure,215000000,The Amazing Spider-Man,6.5,6586
2,1930,Fantasy,215000000,The Amazing Spider-Man,6.5,6586
0,20662,Action,200000000,Robin Hood,6.2,1398
1,20662,Adventure,200000000,Robin Hood,6.2,1398
0,57158,Adventure,250000000,The Hobbit: The Desolation of Smaug,7.6,4524
1,57158,Fantasy,250000000,The Hobbit: The Desolation of Smaug,7.6,4524
0,2268,Adventure,180000000,The Golden Compass,5.8,1303
1,2268,Fantasy,180000000,The Golden Compass,5.8,1303
0,254,Adventure,207000000,King Kong,6.6,2337
1,254,Drama,207000000,King Kong,6.6,2337
2,254,Action,207000000,King Kong,6.6,2337
0,597,Drama,200000000,Titanic,7.5,7562
1,597,Romance,200000000,Titanic,7.5,7562
2,597,Thriller,200000000,Titanic,7.5,7562
0,271110,Adventure,250000000,Captain America: Civil War,7.1,7241
1,271110,Action,250000000,Captain America: Civil War,7.1,7241
2,271110,Science Fiction,250000000,Captain America: Civil War,7.1,7241
0,44833,Thriller,209000000,Battleship,5.5,2114
1,44833,Action,209000000,Battleship,5.5,2114
2,44833,Adventure,209000000,Battleship,5.5,2114
3,44833,Science Fiction,209000000,Battleship,5.5,2114
0,135397,Action,150000000,Jurassic World,6.5,8662
1,135397,Adventure,150000000,Jurassic World,6.5,8662
2,135397,Science Fiction,150000000,Jurassic World,6.5,8662
3,135397,Thriller,150000000,Jurassic World,6.5,8662
0,37724,Action,200000000,Skyfall,6.9,7604
1,37724,Adventure,200000000,Skyfall,6.9,7604
2,37724,Thriller,200000000,Skyfall,6.9,7604
0,558,Action,200000000,Spider-Man 2,6.7,4321
1,558,Adventure,200000000,Spider-Man 2,6.7,4321
2,558,Fantasy,200000000,Spider-Man 2,6.7,4321
0,68721,Action,200000000,Iron Man 3,6.8,8806
1,68721,Adventure,200000000,Iron Man 3,6.8,8806
2,68721,Science Fiction,200000000,Iron Man 3,6.8,8806
0,12155,Family,200000000,Alice in Wonderland,6.4,4645
1,12155,Fantasy,200000000,Alice in Wonderland,6.4,4645
2,12155,Adventure,200000000,Alice in Wonderland,6.4,4645
0,36668,Adventure,210000000,X-Men: The Last Stand,6.3,3525
1,36668,Action,210000000,X-Men: The Last Stand,6.3,3525
2,36668,Science Fiction,210000000,X-Men: The Last Stand,6.3,3525
3,36668,Thriller,210000000,X-Men: The Last Stand,6.3,3525
0,62211,Animation,200000000,Monsters University,7.0,3528
1,62211,Family,200000000,Monsters University,7.0,3528
0,8373,Science Fiction,150000000,Transformers: Revenge of the Fallen,6.0,3138
1,8373,Action,150000000,Transformers: Revenge of the Fallen,6.0,3138
2,8373,Adventure,150000000,Transformers: Revenge of the Fallen,6.0,3138
0,91314,Science Fiction,210000000,Transformers: Age of Extinction,5.8,3095
1,91314,Action,210000000,Transformers: Age of Extinction,5.8,3095
2,91314,Adventure,210000000,Transformers: Age of Extinction,5.8,3095
0,68728,Fantasy,200000000,Oz: The Great and Powerful,5.7,3530
1,68728,Adventure,200000000,Oz: The Great and Powerful,5.7,3530
2,68728,Family,200000000,Oz: The Great and Powerful,5.7,3530
0,102382,Action,200000000,The Amazing Spider-Man 2,6.5,4179
1,102382,Adventure,200000000,The Amazing Spider-Man 2,6.5,4179
2,102382,Fantasy,200000000,The Amazing Spider-Man 2,6.5,4179
0,20526,Adventure,170000000,TRON: Legacy,6.3,2841
1,20526,Action,170000000,TRON: Legacy,6.3,2841
2,20526,Science Fiction,170000000,TRON: Legacy,6.3,2841
0,49013,Animation,200000000,Cars 2,5.8,2033
1,49013,Family,200000000,Cars 2,5.8,2033
2,49013,Adventure,200000000,Cars 2,5.8,2033
3,49013,Comedy,200000000,Cars 2,5.8,2033
0,44912,Adventure,200000000,Green Lantern,5.1,2487
1,44912,Action,200000000,Green Lantern,5.1,2487
2,44912,Thriller,200000000,Green Lantern,5.1,2487
3,44912,Science Fiction,200000000,Green Lantern,5.1,2487
0,10193,Animation,200000000,Toy Story 3,7.6,4597
1,10193,Family,200000000,Toy Story 3,7.6,4597
2,10193,Comedy,200000000,Toy Story 3,7.6,4597
0,534,Action,200000000,Terminator Salvation,5.9,2463
1,534,Science Fiction,200000000,Terminator Salvation,5.9,2463
2,534,Thriller,200000000,Terminator Salvation,5.9,2463
0,168259,Action,190000000,Furious 7,7.3,4176
0,72190,Action,200000000,World War Z,6.7,5560
1,72190,Drama,200000000,World War Z,6.7,5560
2,72190,Horror,200000000,World War Z,6.7,5560
3,72190,Science Fiction,200000000,World War Z,6.7,5560
4,72190,Thriller,200000000,World War Z,6.7,5560
0,127585,Action,250000000,X-Men: Days of Future Past,7.5,6032
1,127585,Adventure,250000000,X-Men: Days of Future Past,7.5,6032
2,127585,Fantasy,250000000,X-Men: Days of Future Past,7.5,6032
3,127585,Science Fiction,250000000,X-Men: Days of Future Past,7.5,6032
0,54138,Action,190000000,Star Trek Into Darkness,7.4,4418
1,54138,Adventure,190000000,Star Trek Into Darkness,7.4,4418
2,54138,Science Fiction,190000000,Star Trek Into Darkness,7.4,4418
0,81005,Action,195000000,Jack the Giant Slayer,5.5,2598
1,81005,Family,195000000,Jack the Giant Slayer,5.5,2598
2,81005,Fantasy,195000000,Jack the Giant Slayer,5.5,2598
0,64682,Drama,105000000,The Great Gatsby,7.3,3769
1,64682,Romance,105000000,The Great Gatsby,7.3,3769
0,9543,Adventure,150000000,Prince of Persia: The Sands of Time,6.2,2317
1,9543,Fantasy,150000000,Prince of Persia: The Sands of Time,6.2,2317
2,9543,Action,150000000,Prince of Persia: The Sands of Time,6.2,2317
3,9543,Romance,150000000,Prince of Persia: The Sands of Time,6.2,2317
0,68726,Action,180000000,Pacific Rim,6.7,4794
1,68726,Science Fiction,180000000,Pacific Rim,6.7,4794
2,68726,Adventure,180000000,Pacific Rim,6.7,4794
0,38356,Action,195000000,Transformers: Dark of the Moon,6.1,3299
1,38356,Science Fiction,195000000,Transformers: Dark of the Moon,6.1,3299
2,38356,Adventure,195000000,Transformers: Dark of the Moon,6.1,3299
0,217,Adventure,185000000,Indiana Jones and the Kingdom of the Crystal Skull,5.7,2495
1,217,Action,185000000,Indiana Jones and the Kingdom of the Crystal Skull,5.7,2495
0,105864,Adventure,175000000,The Good Dinosaur,6.6,1736
1,105864,Animation,175000000,The Good Dinosaur,6.6,1736
2,105864,Family,175000000,The Good Dinosaur,6.6,1736
0,62177,Animation,185000000,Brave,6.7,4641
1,62177,Adventure,185000000,Brave,6.7,4641
2,62177,Comedy,185000000,Brave,6.7,4641
3,62177,Family,185000000,Brave,6.7,4641
4,62177,Action,185000000,Brave,6.7,4641
5,62177,Fantasy,185000000,Brave,6.7,4641
0,188927,Action,185000000,Star Trek Beyond,6.6,2568
1,188927,Adventure,185000000,Star Trek Beyond,6.6,2568
2,188927,Science Fiction,185000000,Star Trek Beyond,6.6,2568
0,10681,Animation,180000000,WALL·E,7.8,6296
1,10681,Family,180000000,WALL·E,7.8,6296
0,5174,Action,140000000,Rush Hour 3,6.1,783
1,5174,Comedy,140000000,Rush Hour 3,6.1,783
2,5174,Crime,140000000,Rush Hour 3,6.1,783
3,5174,Thriller,140000000,Rush Hour 3,6.1,783
0,14161,Action,200000000,2012,5.6,4903
1,14161,Adventure,200000000,2012,5.6,4903
2,14161,Science Fiction,200000000,2012,5.6,4903
0,17979,Animation,200000000,A Christmas Carol,6.6,1095
1,17979,Drama,200000000,A Christmas Carol,6.6,1095
0,76757,Science Fiction,176000003,Jupiter Ascending,5.2,2768
1,76757,Fantasy,176000003,Jupiter Ascending,5.2,2768
2,76757,Action,176000003,Jupiter Ascending,5.2,2768
3,76757,Adventure,176000003,Jupiter Ascending,5.2,2768
0,258489,Action,180000000,The Legend of Tarzan,5.5,2430
1,258489,Adventure,180000000,The Legend of Tarzan,5.5,2430
0,411,Adventure,180000000,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7,2629
1,411,Family,180000000,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7,2629
2,411,Fantasy,180000000,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7,2629
0,246655,Science Fiction,178000000,X-Men: Apocalypse,6.4,4721
0,155,Drama,185000000,The Dark Knight,8.2,12002
1,155,Action,185000000,The Dark Knight,8.2,12002
2,155,Crime,185000000,The Dark Knight,8.2,12002
3,155,Thriller,185000000,The Dark Knight,8.2,12002
0,14160,Animation,175000000,Up,7.7,6870
1,14160,Comedy,175000000,Up,7.7,6870
2,14160,Family,175000000,Up,7.7,6870
3,14160,Adventure,175000000,Up,7.7,6870
0,15512,Animation,175000000,Monsters vs Aliens,6.0,1423
1,15512,Family,175000000,Monsters vs Aliens,6.0,1423
2,15512,Adventure,175000000,Monsters vs Aliens,6.0,1423
3,15512,Science Fiction,175000000,Monsters vs Aliens,6.0,1423
0,1726,Action,140000000,Iron Man,7.4,8776
1,1726,Science Fiction,140000000,Iron Man,7.4,8776
2,1726,Adventure,140000000,Iron Man,7.4,8776
0,44826,Adventure,170000000,Hugo,7.0,2141
1,44826,Drama,170000000,Hugo,7.0,2141
2,44826,Family,170000000,Hugo,7.0,2141
0,8487,Action,170000000,Wild Wild West,5.1,1020
1,8487,Adventure,170000000,Wild Wild West,5.1,1020
2,8487,Comedy,170000000,Wild Wild West,5.1,1020
3,8487,Science Fiction,170000000,Wild Wild West,5.1,1020
4,8487,Western,170000000,Wild Wild West,5.1,1020
0,297761,Action,175000000,Suicide Squad,5.9,7458
1,297761,Adventure,175000000,Suicide Squad,5.9,7458
2,297761,Crime,175000000,Suicide Squad,5.9,7458
3,297761,Fantasy,175000000,Suicide Squad,5.9,7458
4,297761,Science Fiction,175000000,Suicide Squad,5.9,7458
0,2698,Fantasy,175000000,Evan Almighty,5.3,1151
1,2698,Comedy,175000000,Evan Almighty,5.3,1151
2,2698,Family,175000000,Evan Almighty,5.3,1151
0,137113,Action,178000000,Edge of Tomorrow,7.6,4858
1,137113,Science Fiction,178000000,Edge of Tomorrow,7.6,4858
0,9804,Adventure,175000000,Waterworld,5.9,992
1,9804,Action,175000000,Waterworld,5.9,992
0,14869,Adventure,175000000,G.I. Joe: The Rise of Cobra,5.6,1962
1,14869,Action,175000000,G.I. Joe: The Rise of Cobra,5.6,1962
2,14869,Thriller,175000000,G.I. Joe: The Rise of Cobra,5.6,1962
3,14869,Science Fiction,175000000,G.I. Joe: The Rise of Cobra,5.6,1962
0,150540,Drama,175000000,Inside Out,8.0,6560
1,150540,Comedy,175000000,Inside Out,8.0,6560
2,150540,Animation,175000000,Inside Out,8.0,6560
3,150540,Family,175000000,Inside Out,8.0,6560
0,278927,Family,175000000,The Jungle Book,6.7,2892
1,278927,Adventure,175000000,The Jungle Book,6.7,2892
2,278927,Drama,175000000,The Jungle Book,6.7,2892
3,278927,Fantasy,175000000,The Jungle Book,6.7,2892
0,10138,Adventure,200000000,Iron Man 2,6.6,6849
1,10138,Action,200000000,Iron Man 2,6.6,6849
2,10138,Science Fiction,200000000,Iron Man 2,6.6,6849
0,58595,Adventure,170000000,Snow White and the Huntsman,5.8,3118
1,58595,Fantasy,170000000,Snow White and the Huntsman,5.8,3118
2,58595,Drama,170000000,Snow White and the Huntsman,5.8,3118
0,102651,Fantasy,180000000,Maleficent,7.0,4496
1,102651,Adventure,180000000,Maleficent,7.0,4496
2,102651,Action,180000000,Maleficent,7.0,4496
3,102651,Family,180000000,Maleficent,7.0,4496
4,102651,Romance,180000000,Maleficent,7.0,4496
0,119450,Science Fiction,170000000,Dawn of the Planet of the Apes,7.3,4410
1,119450,Action,170000000,Dawn of the Planet of the Apes,7.3,4410
2,119450,Drama,170000000,Dawn of the Planet of the Apes,7.3,4410
3,119450,Thriller,170000000,Dawn of the Planet of the Apes,7.3,4410
0,64686,Drama,175000000,47 Ronin,5.9,1326
1,64686,Action,175000000,47 Ronin,5.9,1326
2,64686,Adventure,175000000,47 Ronin,5.9,1326
3,64686,Fantasy,175000000,47 Ronin,5.9,1326
0,100402,Action,170000000,Captain America: The Winter Soldier,7.6,5764
1,100402,Adventure,170000000,Captain America: The Winter Soldier,7.6,5764
2,100402,Science Fiction,170000000,Captain America: The Winter Soldier,7.6,5764
0,10192,Comedy,165000000,Shrek Forever After,6.0,1959
1,10192,Adventure,165000000,Shrek Forever After,6.0,1959
2,10192,Fantasy,165000000,Shrek Forever After,6.0,1959
3,10192,Animation,165000000,Shrek Forever After,6.0,1959
4,10192,Family,165000000,Shrek Forever After,6.0,1959
0,158852,Adventure,190000000,Tomorrowland,6.2,2846
1,158852,Family,190000000,Tomorrowland,6.2,2846
2,158852,Mystery,190000000,Tomorrowland,6.2,2846
3,158852,Science Fiction,190000000,Tomorrowland,6.2,2846
0,177572,Adventure,165000000,Big Hero 6,7.8,6135
1,177572,Family,165000000,Big Hero 6,7.8,6135
2,177572,Animation,165000000,Big Hero 6,7.8,6135
3,177572,Action,165000000,Big Hero 6,7.8,6135
4,177572,Comedy,165000000,Big Hero 6,7.8,6135
0,82690,Family,165000000,Wreck-It Ralph,7.1,4570
1,82690,Animation,165000000,Wreck-It Ralph,7.1,4570
2,82690,Comedy,165000000,Wreck-It Ralph,7.1,4570
3,82690,Adventure,165000000,Wreck-It Ralph,7.1,4570
0,5255,Adventure,165000000,The Polar Express,6.4,1474
1,5255,Animation,165000000,The Polar Express,6.4,1474
2,5255,Family,165000000,The Polar Express,6.4,1474
3,5255,Fantasy,165000000,The Polar Express,6.4,1474
0,47933,Action,165000000,Independence Day: Resurgence,4.9,2491
1,47933,Adventure,165000000,Independence Day: Resurgence,4.9,2491
2,47933,Science Fiction,165000000,Independence Day: Resurgence,4.9,2491
0,10191,Fantasy,165000000,How to Train Your Dragon,7.5,4227
1,10191,Adventure,165000000,How to Train Your Dragon,7.5,4227
2,10191,Animation,165000000,How to Train Your Dragon,7.5,4227
3,10191,Family,165000000,How to Train Your Dragon,7.5,4227
0,296,Action,200000000,Terminator 3: Rise of the Machines,5.9,2143
1,296,Thriller,200000000,Terminator 3: Rise of the Machines,5.9,2143
2,296,Science Fiction,200000000,Terminator 3: Rise of the Machines,5.9,2143
0,118340,Action,170000000,Guardians of the Galaxy,7.9,9742
1,118340,Science Fiction,170000000,Guardians of the Galaxy,7.9,9742
2,118340,Adventure,170000000,Guardians of the Galaxy,7.9,9742
0,157336,Adventure,165000000,Interstellar,8.1,10867
1,157336,Drama,165000000,Interstellar,8.1,10867
2,157336,Science Fiction,165000000,Interstellar,8.1,10867
0,27205,Action,160000000,Inception,8.1,13752
1,27205,Thriller,160000000,Inception,8.1,13752
2,27205,Science Fiction,160000000,Inception,8.1,13752
3,27205,Mystery,160000000,Inception,8.1,13752
4,27205,Adventure,160000000,Inception,8.1,13752
0,315011,Action,15000000,シン・ゴジラ,6.5,143
1,315011,Adventure,15000000,シン・ゴジラ,6.5,143
2,315011,Drama,15000000,シン・ゴジラ,6.5,143
3,315011,Horror,15000000,シン・ゴジラ,6.5,143
4,315011,Science Fiction,15000000,シン・ゴジラ,6.5,143
0,49051,Adventure,250000000,The Hobbit: An Unexpected Journey,7.0,8297
1,49051,Fantasy,250000000,The Hobbit: An Unexpected Journey,7.0,8297
2,49051,Action,250000000,The Hobbit: An Unexpected Journey,7.0,8297
0,9799,Action,38000000,The Fast and the Furious,6.6,3428
1,9799,Crime,38000000,The Fast and the Furious,6.6,3428
2,9799,Thriller,38000000,The Fast and the Furious,6.6,3428
0,4922,Fantasy,150000000,The Curious Case of Benjamin Button,7.3,3292
1,4922,Drama,150000000,The Curious Case of Benjamin Button,7.3,3292
2,4922,Thriller,150000000,The Curious Case of Benjamin Button,7.3,3292
3,4922,Mystery,150000000,The Curious Case of Benjamin Button,7.3,3292
4,4922,Romance,150000000,The Curious Case of Benjamin Button,7.3,3292
0,49538,Action,160000000,X-Men: First Class,7.1,5181
1,49538,Science Fiction,160000000,X-Men: First Class,7.1,5181
2,49538,Adventure,160000000,X-Men: First Class,7.1,5181
0,131634,Action,160000000,The Hunger Games: Mockingjay - Part 2,6.6,3984
1,131634,Adventure,160000000,The Hunger Games: Mockingjay - Part 2,6.6,3984
2,131634,Science Fiction,160000000,The Hunger Games: Mockingjay - Part 2,6.6,3984
0,27022,Fantasy,150000000,The Sorcerer's Apprentice,5.8,1470
1,27022,Adventure,150000000,The Sorcerer's Apprentice,5.8,1470
2,27022,Action,150000000,The Sorcerer's Apprentice,5.8,1470
3,27022,Comedy,150000000,The Sorcerer's Apprentice,5.8,1470
4,27022,Drama,150000000,The Sorcerer's Apprentice,5.8,1470
0,503,Adventure,160000000,Poseidon,5.5,583
1,503,Action,160000000,Poseidon,5.5,583
2,503,Drama,160000000,Poseidon,5.5,583
3,503,Thriller,160000000,Poseidon,5.5,583
0,241259,Fantasy,170000000,Alice Through the Looking Glass,6.5,1725
0,810,Fantasy,160000000,Shrek the Third,6.0,2278
1,810,Adventure,160000000,Shrek the Third,6.0,2278
2,810,Animation,160000000,Shrek the Third,6.0,2278
3,810,Comedy,160000000,Shrek the Third,6.0,2278
4,810,Family,160000000,Shrek the Third,6.0,2278
0,68735,Action,160000000,Warcraft,6.3,2268
1,68735,Adventure,160000000,Warcraft,6.3,2268
2,68735,Fantasy,160000000,Warcraft,6.3,2268
0,87101,Science Fiction,155000000,Terminator Genisys,5.8,3631
1,87101,Action,155000000,Terminator Genisys,5.8,3631
2,87101,Thriller,155000000,Terminator Genisys,5.8,3631
3,87101,Adventure,155000000,Terminator Genisys,5.8,3631
0,10140,Adventure,155000000,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.2,1514
1,10140,Family,155000000,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.2,1514
2,10140,Fantasy,155000000,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.2,1514
0,676,History,140000000,Pearl Harbor,6.6,1791
1,676,Romance,140000000,Pearl Harbor,6.6,1791
2,676,War,140000000,Pearl Harbor,6.6,1791
0,1858,Adventure,150000000,Transformers,6.6,4040
1,1858,Science Fiction,150000000,Transformers,6.6,4040
2,1858,Action,150000000,Transformers,6.6,4040
0,1966,War,155000000,Alexander,5.6,927
1,1966,History,155000000,Alexander,5.6,927
2,1966,Action,155000000,Alexander,5.6,927
3,1966,Adventure,155000000,Alexander,5.6,927
4,1966,Drama,155000000,Alexander,5.6,927
5,1966,Romance,155000000,Alexander,5.6,927
0,675,Adventure,150000000,Harry Potter and the Order of the Phoenix,7.4,5494
1,675,Fantasy,150000000,Harry Potter and the Order of the Phoenix,7.4,5494
2,675,Family,150000000,Harry Potter and the Order of the Phoenix,7.4,5494
3,675,Mystery,150000000,Harry Potter and the Order of the Phoenix,7.4,5494
0,674,Adventure,150000000,Harry Potter and the Goblet of Fire,7.5,5608
1,674,Fantasy,150000000,Harry Potter and the Goblet of Fire,7.5,5608
2,674,Family,150000000,Harry Potter and the Goblet of Fire,7.5,5608
0,8960,Fantasy,150000000,Hancock,6.2,2961
1,8960,Action,150000000,Hancock,6.2,2961
0,6479,Drama,150000000,I Am Legend,6.9,4853
1,6479,Horror,150000000,I Am Legend,6.9,4853
2,6479,Action,150000000,I Am Legend,6.9,4853
3,6479,Thriller,150000000,I Am Legend,6.9,4853
4,6479,Science Fiction,150000000,I Am Legend,6.9,4853
0,118,Adventure,150000000,Charlie and the Chocolate Factory,6.7,3624
1,118,Comedy,150000000,Charlie and the Chocolate Factory,6.7,3624
2,118,Family,150000000,Charlie and the Chocolate Factory,6.7,3624
3,118,Fantasy,150000000,Charlie and the Chocolate Factory,6.7,3624
0,2062,Animation,150000000,Ratatouille,7.5,4369
1,2062,Comedy,150000000,Ratatouille,7.5,4369
2,2062,Family,150000000,Ratatouille,7.5,4369
3,2062,Fantasy,150000000,Ratatouille,7.5,4369
0,272,Action,150000000,Batman Begins,7.5,7359
1,272,Crime,150000000,Batman Begins,7.5,7359
2,272,Drama,150000000,Batman Begins,7.5,7359
0,10527,Family,150000000,Madagascar: Escape 2 Africa,6.2,1810
1,10527,Animation,150000000,Madagascar: Escape 2 Africa,6.2,1810
0,18360,Adventure,150000000,Night at the Museum: Battle of the Smithsonian,5.9,1971
1,18360,Fantasy,150000000,Night at the Museum: Battle of the Smithsonian,5.9,1971
2,18360,Action,150000000,Night at the Museum: Battle of the Smithsonian,5.9,1971
3,18360,Comedy,150000000,Night at the Museum: Battle of the Smithsonian,5.9,1971
4,18360,Family,150000000,Night at the Museum: Battle of the Smithsonian,5.9,1971
0,2080,Adventure,150000000,X-Men Origins: Wolverine,6.2,4021
1,2080,Action,150000000,X-Men Origins: Wolverine,6.2,4021
2,2080,Thriller,150000000,X-Men Origins: Wolverine,6.2,4021
3,2080,Science Fiction,150000000,X-Men Origins: Wolverine,6.2,4021
0,605,Adventure,150000000,The Matrix Revolutions,6.4,3096
1,605,Action,150000000,The Matrix Revolutions,6.4,3096
2,605,Thriller,150000000,The Matrix Revolutions,6.4,3096
3,605,Science Fiction,150000000,The Matrix Revolutions,6.4,3096
0,109445,Animation,150000000,Frozen,7.3,5295
1,109445,Adventure,150000000,Frozen,7.3,5295
2,109445,Family,150000000,Frozen,7.3,5295
0,604,Adventure,150000000,The Matrix Reloaded,6.7,3443
1,604,Action,150000000,The Matrix Reloaded,6.7,3443
2,604,Thriller,150000000,The Matrix Reloaded,6.7,3443
3,604,Science Fiction,150000000,The Matrix Reloaded,6.7,3443
0,76338,Action,170000000,Thor: The Dark World,6.8,4755
1,76338,Adventure,170000000,Thor: The Dark World,6.8,4755
2,76338,Fantasy,170000000,Thor: The Dark World,6.8,4755
0,76341,Action,150000000,Mad Max: Fury Road,7.2,9427
1,76341,Adventure,150000000,Mad Max: Fury Road,7.2,9427
2,76341,Science Fiction,150000000,Mad Max: Fury Road,7.2,9427
3,76341,Thriller,150000000,Mad Max: Fury Road,7.2,9427
0,13448,Thriller,150000000,Angels & Demons,6.5,2129
1,13448,Mystery,150000000,Angels & Demons,6.5,2129
0,10195,Adventure,150000000,Thor,6.6,6525
1,10195,Fantasy,150000000,Thor,6.6,6525
2,10195,Action,150000000,Thor,6.6,6525
0,13053,Animation,150000000,Bolt,6.3,1750
1,13053,Family,150000000,Bolt,6.3,1750
2,13053,Adventure,150000000,Bolt,6.3,1750
3,13053,Comedy,150000000,Bolt,6.3,1750
0,19585,Fantasy,150000000,G-Force,5.1,510
1,19585,Action,150000000,G-Force,5.1,510
2,19585,Adventure,150000000,G-Force,5.1,510
3,19585,Family,150000000,G-Force,5.1,510
4,19585,Comedy,150000000,G-Force,5.1,510
0,57165,Adventure,150000000,Wrath of the Titans,5.5,1431
0,62213,Comedy,150000000,Dark Shadows,5.7,2320
1,62213,Fantasy,150000000,Dark Shadows,5.7,2320
0,177677,Action,150000000,Mission: Impossible - Rogue Nation,7.1,3224
1,177677,Adventure,150000000,Mission: Impossible - Rogue Nation,7.1,3224
2,177677,Thriller,150000000,Mission: Impossible - Rogue Nation,7.1,3224
0,7978,Drama,150000000,The Wolfman,5.5,549
1,7978,Horror,150000000,The Wolfman,5.5,549
2,7978,Thriller,150000000,The Wolfman,5.5,549
0,5559,Family,150000000,Bee Movie,5.7,1171
1,5559,Animation,150000000,Bee Movie,5.7,1171
2,5559,Adventure,150000000,Bee Movie,5.7,1171
3,5559,Comedy,150000000,Bee Movie,5.7,1171
0,49444,Animation,150000000,Kung Fu Panda 2,6.7,1880
1,49444,Family,150000000,Kung Fu Panda 2,6.7,1880
0,10196,Action,150000000,The Last Airbender,4.7,1151
1,10196,Adventure,150000000,The Last Airbender,4.7,1151
2,10196,Family,150000000,The Last Airbender,4.7,1151
